volume	启动音量	0 为静音，100 为不衰减也不放大；负值按 0 处理。控制内部软件混音器，默认 100。
remember-volume	记住音量	退出时保存音量与静音状态，下次启动时恢复。（mpv.net 选项）
alang	音频语言优先级	指定音轨语言优先顺序。DVD 使用两字母代码，Matroska、MPEG-TS、NUT 使用三字母代码，OGM 可使用自由格式标识。另参见 aid。
audio-file-auto	自动加载音频	加载与视频文件名匹配的外置音频文件，参数控制匹配规则。
audio-device	音频设备	指定输出接口与设备，格式通常为接口名/设备名；auto 按优先顺序尝试默认设备。可在“查看→更多→显示音频设备”查看列表，在“音频→音频设备”切换。
remember-audio-device	记住音频设备	保存并恢复在右键菜单选择的音频设备，默认启用。
audio-exts	音频扩展名	用于外置音频匹配、自动播放列表、目录筛选、文件关联及自动加载目录。默认包括 aac、ac3、aiff、ape、au、dts、eac3、flac、m4a、mka、mp3、oga、ogg、ogm、opus、thd、wav、wma、wv。
slang	字幕语言优先级	指定字幕语言优先顺序。DVD 使用两字母代码，Matroska 使用三字母代码，OGM 可使用自由格式标识。另参见 sid。
sub-auto	自动加载字幕	加载与视频文件名匹配的外置字幕，参数控制匹配规则；默认 exact（精确匹配）。
sub-font	字幕字体	字幕本身没有指定字体时使用的字体，默认 sans-serif。
sub-font-size	字幕字号	以窗口高度 720 时的缩放像素为单位；实际字号随窗口高度缩放，默认 55。
sub-color	字幕颜色	无样式文本字幕的颜色。颜色格式及示例见下方手册。
sub-border-color	字幕描边颜色	字幕字体边框颜色，格式参见 sub-color。设置非透明字幕背景时忽略此项。
sub-back-color	字幕背景颜色	字幕文本背景颜色，格式参见 sub-color。可通过 sub-shadow-offset 调整其相对大小。
title	窗口标题	设置视频窗口及可用时的音频流标题，支持属性展开。使用频繁变化或昂贵的属性可能明显增加 CPU 占用。
fullscreen	启动时全屏	启动播放器时进入全屏。
border	窗口装饰	显示窗口标题栏和边框。
title-bar	窗口标题栏	设为 no 隐藏标题栏。
screen	显示器	范围 0–32，多显示器环境下选择显示视频的屏幕。
taskbar-progress	任务栏进度	在任务栏按钮上显示播放进度。
osd-playing-msg	起播提示	播放开始时显示的屏幕提示，支持属性展开。例如 file: ${filename} 可显示当前文件名。完整说明见手册。
osd-font-size	屏幕提示字号	屏幕提示字号，缩放规则参见 sub-font-size，默认 55。
osd-duration	屏幕提示时长	屏幕提示的显示时长，单位毫秒，默认 1000。
osd-scale-by-window	提示随窗口缩放	启用后提示随窗口尺寸缩放；关闭后按实际像素指定字号，窗口大小变化不会改变提示字号。
autofit	初始窗口高度	初始窗口高度的百分比，默认 60。
autofit-smaller	最小窗口高度	最小窗口高度的百分比，默认 10。
autofit-larger	最大窗口高度	最大窗口高度的百分比，默认 80。
autofit-image	图片窗口高度	显示图片时的初始窗口高度百分比，默认 80。
autofit-audio	音频窗口高度	播放音频时的初始窗口高度百分比，默认 70。
geometry	初始窗口位置	使用 x:y 百分比指定位置，默认 50:50 居中。x=0/100 靠左/右，y=0/100 靠上/下。Windows 10 的不可见边框可能导致轻微偏差，Windows 11 更准确。
start-size	窗口尺寸记忆	设置启动时采用的窗口尺寸记忆方式。（mpv.net 选项）
keepaspect-window	锁定窗口比例	窗口尺寸保持视频宽高比，默认启用。
minimum-aspect-ratio	最小窗口宽高比	限制窗口最小宽高比，可使窗口及底部控制栏更宽。（mpv.net 选项）
minimum-aspect-ratio-audio	音频窗口最小比例	与最小窗口宽高比相同，但仅用于音频文件。
remember-window-position	记住窗口位置	退出时保存窗口位置。（mpv.net 选项）
snap-window	窗口边缘吸附	将播放器窗口吸附到屏幕边缘。
window-maximized	启动时最大化	启动时最大化窗口。
keep-open-pause	结束时暂停	设为 no 时，保留窗口但不进入暂停状态；向后跳转后继续播放，再到结尾时停止。
idle	空闲模式	当本项和 keep-open 均为 no 时，播放完最后一个文件后退出。
loop-file	单文件循环	N 为循环次数，inf 为无限循环，no 为正常播放。只循环当前文件而非整个列表；单文件列表下，本项通过跳转回开头循环，而不是重新加载。loop 是本项别名。
save-position-on-quit	退出时保存进度	退出时保存当前播放位置，下次播放该文件时恢复。切换到下一文件等其他停止方式不触发保存。默认关闭，但按 Shift+Q 退出时始终可以保存。
watch-later-options	续播保存项目	列出在播放过程中改变后需要保存的选项，下次播放该文件时恢复。完整说明见下方手册。
hr-seek	精确跳转	选择何时使用不受关键帧限制的精确跳转。需要从前一关键帧解码到目标位置，耗时取决于解码性能，部分格式不支持。快捷键或命令可显式覆盖此默认行为。
track-auto-selection	自动选择轨道	按 aid、alang 等参数选择音视频及字幕轨道。关闭后不自动选轨，也不会因未选轨而退出，而是等待。可用于运行时设置 lavfi-complex；播放前已被滤镜引用的轨道始终会选中。
loop-playlist	播放列表循环	1 播放一次，2 播放两次，inf 无限循环，no 等同于 1。命令行有多个文件时循环整个列表。force 类似 inf，但也重试标记失败的项目；无效文件可能浪费 CPU，网络不稳定的广播可能受益。
autocreate-playlist	自动创建播放列表	打开本地文件时自动从所在目录生成列表。no 只加载该文件；filter 按 directory-filter-types 筛选；same 仅加入与当前文件同类且扩展名匹配的项目。当前文件未匹配任何扩展名列表时不自动创建。
auto-load-folder	自动加载目录（旧）	打开单文件时将整个目录加入播放列表。此 mpv.net 选项已弃用，可改用 autocreate-playlist。
reset-on-next-file	切集时重置选项	默认会保留播放期间调整过的选项。本项列出的选项在开始播放下一文件时恢复到启动时的初始值。
input-ar-delay	按键连发延迟	开始自动重复按键前的等待时间，单位毫秒；0 禁用连发。
input-ar-rate	按键连发速度	自动重复按键时每秒产生的按键次数。
input-ipc-server	进程通信接口	启用 IPC，并在指定路径创建监听端点。
language	界面语言	播放器和管理器共用的界面语言；请使用设置顶部的语言选择器，重启后生效。
dark-mode	深浅主题模式	选择浅色或深色主题，重启后生效。（mpv.net 选项）
dark-theme	深色主题	深色模式所用主题，默认 dark，重启后生效。（mpv.net 选项）
light-theme	浅色主题	浅色模式所用主题，默认 light，重启后生效。（mpv.net 选项）
cache	网络缓存	选择是否使用网络缓存设置。
demuxer-max-bytes	最大预读缓存	限制解复用器允许预读的数据量，支持 KiB、MiB 等单位后缀。
